text,department,category,subcategory,priority
water comes for only 10 minutes in the morning with very poor pressure at karol bagh.,Water Department,Water Supply,Low Water Pressure,MEDIUM
Stormwater drain is completely clogged with silt near Saket Block C.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
"open manhole hai road pe near Model Town, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Broken Footpath,LOW
"bijli 6 ghante se nahi hai Preet Vihar me, light kab aayegi?",Electricity Department,Electricity,Damaged Electric Pole,HIGH
Urgent mosquito spray drive needed in Railway Station Road due to malaria outbreak risk.,Public Health Department,Public Health,Vector Disease Control,HIGH
gutter blocked near Model Town market area.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
drainage gutter overflow inundating street water in vasant kunj.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
MACHHAR BOHOT HO GAYE HAIN STAGNANT WATER KE WAJAH SE CIVIL LINES ME.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
garbage dump ho raha hai open space me near Lajpat Nagar.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"street lights remain turned on during daytime near vasant kunj, wasting electricity.",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
transformer se spark nikal raha hai near Pitampura market.,Electricity Department,Electricity,Power Outage,HIGH
road is completely dug up near gt road and no barricades put.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
bus stop shelter shade damaged and rusted near rajouri garden.,Municipal Transport Department,Transport,Public Transport Facility,LOW
damaged bus shelter bench near civil lines causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Clogged stormwater channel causing 2 feet water accumulation in Saket Block C.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
No drinking water available in Model Town for 7 consecutive days.,Water Department,Water Supply,Water Meter Defect,LOW
"street light 1 hafte se band hai Karol Bagh me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Electric pole near Rohini Sector 7 is leaning dangerously and about to fall.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"STREET LIGHTS REMAIN TURNED ON DURING DAYTIME NEAR CIVIL LINES, WASTING ELECTRICITY.",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Overflowing sewage chamber creating severe health hazard near Sector 17 residential flats.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Non-functional street lamps along main highway stretch near Lajpat Nagar.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Streetlight pole broken and light fixture hanging near Vasant Kunj.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Urgent mosquito spray drive needed in Lajpat Nagar due to malaria outbreak risk.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Stray dogs aggressiveness causing safety fear near Preet Vihar park.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
sanitation condition is very bad near Vasant Kunj market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"open manhole hai road pe near Vasant Kunj, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Broken Footpath,LOW
huge pile of uncollected trash dumped openly near dwarka sector 10 corner.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
Power transformer overloaded and sparking near Saket Block C residential block.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
No proper bus seating shed or display board at Rajouri Garden stop.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
No proper bus seating shed or display board at Rohini Sector 7 stop.,Municipal Transport Department,Transport,Public Transport Facility,LOW
water pipe leak ho gaya hai Rohini Sector 7 market ke paas.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
No proper bus seating shed or display board at Dwarka Sector 10 stop.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
water comes for only 10 minutes in the morning with very poor pressure at vasant kunj.,Water Department,Water Supply,Low Water Pressure,MEDIUM
gutter blocked near Vasant Kunj market area.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
asphalt has caved in near lajpat nagar creating a dangerous road depression.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Streetlights turned off on main road near Model Town for 2 nights.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Fumigation and mosquito fogging required urgently in Railway Station Road area.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Clogged stormwater channel causing 2 feet water accumulation in Sector 17.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
sewage ka paani raste pe beh raha hai near chandni chowk.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
severe foul odor coming from unmaintained public restroom near mayur vihar phase 1.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
light pole toota hua hai near Karol Bagh park.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Sewage line overflowing near Ring Road Junction creating unsanitary conditions.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"street lights remain turned on during daytime near vasant kunj, wasting electricity.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
community waste bin overflowing near janakpuri attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Open manhole on main road near Vasant Kunj poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Power transformer overloaded and sparking near Rohini Sector 7 residential block.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
"Water pressure is extremely low in Lajpat Nagar, cannot fill top tank.",Water Department,Water Supply,No Water Supply,HIGH
"voltage bohot low hai Karol Bagh me, fan bhi nahi chal raha.",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Severe foul odor coming from unmaintained public restroom near Rajouri Garden.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Streetlight pole broken and light fixture hanging near Connaught Place.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Bus stop shelter shade damaged and rusted near Preet Vihar.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
sewage and drain water entering houses in vasant kunj locality.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Garbage has not been collected from Civil Lines for 3 days.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Public sanitation facility in Rajouri Garden lacks water and cleanliness.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Rotting organic waste creating intense stench near Rajouri Garden main market.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
waste bin overflow kar raha hai near Rajouri Garden colony.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
kachra 4 din se nahi uthaya gaya hai Model Town se.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
No proper bus seating shed or display board at Connaught Place stop.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
"road ki condition bahut kharab hai sector 17 me, accident ho rahe hain.",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
light pole toota hua hai near sector 17 park.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
high voltage surge burnt electrical appliances in janakpuri.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
KACHRA 4 DIN SE NAHI UTHAYA GAYA HAI KASHMERE GATE SE.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
TRAFFIC SIGNAL BLINKING RED CONTINUOUSLY AT KASHMERE GATE INTERSECTION.,Municipal Transport Department,Transport,Public Transport Facility,LOW
nali overflow kar rahi hai Chandni Chowk ke raste pe.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
sewage ka paani raste pe beh raha hai near connaught place.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Pipeline burst near Dwarka Sector 10 causing heavy water leakage on road.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Severe waterlogging in GT Road after light rain due to choked drains.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Sewage and drain water entering houses in Connaught Place locality.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
electric pole near saket block c is leaning dangerously and about to fall.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Power supply has been out in Vasant Kunj for more than 5 hours.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
Power transformer overloaded and sparking near Mayur Vihar Phase 1 residential block.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
Complete blackout in Civil Lines locality since this morning night.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
"bijli 6 ghante se nahi hai Vasant Kunj me, light kab aayegi?",Electricity Department,Electricity,Power Outage,HIGH
Bus stop shelter shade damaged and rusted near Mayur Vihar Phase 1.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
The road condition near Connaught Place is extremely bad and damaged.,Public Works Department,Roads / PWD,Broken Footpath,LOW
sewage line overflowing near kashmere gate creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
stray dogs problem near Civil Lines primary school.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
BUS STOP SHELTER SHADE DAMAGED AND RUSTED NEAR DWARKA SECTOR 10.,Municipal Transport Department,Transport,Public Transport Facility,LOW
traffic signal lights not working at major intersection near rohini sector 7.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Large deep potholes on main road near Chandni Chowk causing accidents.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
severe waterlogging in ring road junction after light rain due to choked drains.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bus stand ka shed toota hua hai near Ring Road Junction.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
machhar bohot ho gaye hain stagnant water ke wajah se Pitampura me.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Buses parking illegally blocking lane near GT Road terminal.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Buses parking illegally blocking lane near Dwarka Sector 10 terminal.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Streetlight pole broken and light fixture hanging near Karol Bagh.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Exposed live electrical wire hanging dangerously near school entrance in Rajouri Garden.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Tar layer has worn off completely near Saket Block C making riding difficult.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
HIGH VOLTAGE SURGE BURNT ELECTRICAL APPLIANCES IN MAYUR VIHAR PHASE 1.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
Severe waterlogging in Kashmere Gate after light rain due to choked drains.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"Road ki condition bahut kharab hai Pitampura me, accident ho rahe hain.",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
Frequent voltage fluctuations and power cuts in Karol Bagh area.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Road is completely dug up near Sector 17 and no barricades put.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
Non-functional street lamps along main highway stretch near Ring Road Junction.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Water has stopped coming in Model Town since yesterday.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
waste bin overflow kar raha hai near Lajpat Nagar colony.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
There has been no water supply in Rohini Sector 7 for 3 days.,Water Department,Water Supply,Low Water Pressure,MEDIUM
COMMUNITY WASTE BIN OVERFLOWING NEAR SECTOR 17 ATTRACTING FLIES AND STRAY ANIMALS.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
our taps have been completely dry since this morning.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
The road condition near Kashmere Gate is extremely bad and damaged.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
Unannounced power cuts every 2 hours in Ring Road Junction during peak summer.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Pipeline burst near GT Road causing heavy water leakage on road.,Water Department,Water Supply,No Water Supply,HIGH
"baarish ke baad lajpat nagar me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Waterlogging,HIGH
traffic signal blinking red continuously at sector 17 intersection.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
sewage ka paani raste pe beh raha hai near Vasant Kunj.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
public toilet bahut ganda hai near Dwarka Sector 10 bus stand.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Huge pile of uncollected trash dumped openly near Vasant Kunj corner.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Pipeline burst near Dwarka Sector 10 causing heavy water leakage on road.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
high voltage surge burnt electrical appliances in connaught place.,Electricity Department,Electricity,Power Outage,HIGH
There has been no water supply in Mayur Vihar Phase 1 for 7 days.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
Huge pile of uncollected trash dumped openly near GT Road corner.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Road construction work near Janakpuri has been left incomplete for months.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"open manhole hai road pe near Civil Lines, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Broken Footpath,LOW
Traffic signal lights not working at major intersection near Chandni Chowk.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
waste bin overflow kar raha hai near Mayur Vihar Phase 1 colony.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
pest infestation and open unhygienic waste near saket block c food market.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Power transformer overloaded and sparking near Mayur Vihar Phase 1 residential block.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
Tar layer has worn off completely near Sector 17 making riding difficult.,Public Works Department,Roads / PWD,Broken Footpath,LOW
frequent voltage fluctuations and power cuts in sector 17 area.,Electricity Department,Electricity,Power Outage,HIGH
Severe foul odor coming from unmaintained public restroom near Civil Lines.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
High voltage surge burnt electrical appliances in GT Road.,Electricity Department,Electricity,Power Outage,HIGH
High voltage surge burnt electrical appliances in Rohini Sector 7.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
sanitation condition is very bad near Model Town market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Severe foul odor coming from unmaintained public restroom near Saket Block C.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
sanitation condition is very bad near Dwarka Sector 10 market area.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Sewage line overflowing near Vasant Kunj creating unsanitary conditions.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Frequent voltage fluctuations and power cuts in Preet Vihar area.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
bus stand ka shed toota hua hai near Model Town.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Stagnant water pool near Railway Station Road becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
sewage line overflowing near janakpuri creating unsanitary conditions.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Dirty brown water is coming from the tap in Sector 17.,Water Department,Water Supply,No Water Supply,HIGH
kachra 4 din se nahi uthaya gaya hai Kashmere Gate se.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Stagnant water pool near Rohini Sector 7 becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
EXPOSED LIVE ELECTRICAL WIRE HANGING DANGEROUSLY NEAR SCHOOL ENTRANCE IN DWARKA SECTOR 10.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Community waste bin overflowing near Sector 17 attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
public toilet bahut ganda hai near Preet Vihar bus stand.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"bijli 6 ghante se nahi hai rajouri garden me, light kab aayegi?",Electricity Department,Electricity,Power Outage,HIGH
bus stand ka shed toota hua hai near kashmere gate.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Huge pile of uncollected trash dumped openly near Connaught Place corner.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"paani ki supply bilkul band hai Mayur Vihar Phase 1 me, please help karo.",Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"Water pressure is extremely low in Lajpat Nagar, cannot fill top tank.",Water Department,Water Supply,Water Pipeline Leakage,HIGH
Clogged stormwater channel causing 2 feet water accumulation in Mayur Vihar Phase 1.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"traffic light kharab hai near karol bagh chowk, jam lag raha hai.",Municipal Transport Department,Transport,Public Transport Facility,LOW
garbage dump ho raha hai open space me near Lajpat Nagar.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Road is completely dug up near Rohini Sector 7 and no barricades put.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Drainage gutter overflow inundating street water in Dwarka Sector 10.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
POWER TRANSFORMER OVERLOADED AND SPARKING NEAR JANAKPURI RESIDENTIAL BLOCK.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Severe foul odor coming from unmaintained public restroom near Model Town.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Electricity transformer near GT Road is sparking violently and emitting smoke.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
ROAD IS COMPLETELY DUG UP NEAR KASHMERE GATE AND NO BARRICADES PUT.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
Complete blackout in Lajpat Nagar locality since Tuesday night.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Open manhole on main road near Vasant Kunj poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
traffic signal blinking red continuously at Lajpat Nagar intersection.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Stray dogs aggressiveness causing safety fear near Lajpat Nagar park.,Public Health Department,Public Health,Vector Disease Control,HIGH
bus stand ka shed toota hua hai near Ring Road Junction.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Road is completely dug up near Saket Block C and no barricades put.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
Our taps have been completely dry since Monday.,Water Department,Water Supply,No Water Supply,HIGH
stormwater drain is completely clogged with silt near gt road.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
gutter blocked near Saket Block C market area.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
kachra 4 din se nahi uthaya gaya hai Vasant Kunj se.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
gutter blocked near sector 17 market area.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
machhar bohot ho gaye hain stagnant water ke wajah se rohini sector 7 me.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Severe waterlogging in Vasant Kunj after light rain due to choked drains.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
"Road ki condition bahut kharab hai Janakpuri me, accident ho rahe hain.",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
sanitation condition is very bad near GT Road market area.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
traffic signal blinking red continuously at Ring Road Junction intersection.,Municipal Transport Department,Transport,Public Transport Facility,LOW
stagnant water pool near karol bagh becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Vector Disease Control,HIGH
Severe foul odor coming from unmaintained public restroom near Vasant Kunj.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Door-to-door sanitation truck hasn't visited Mayur Vihar Phase 1 this week.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
public toilet bahut ganda hai near Model Town bus stand.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
electric pole near lajpat nagar is leaning dangerously and about to fall.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
dark street near Kashmere Gate making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Unannounced power cuts every 2 hours in Kashmere Gate during peak summer.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
footpath broken hai near Pitampura station area.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
sanitation condition is very bad near Mayur Vihar Phase 1 market area.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"traffic light kharab hai near Ring Road Junction chowk, jam lag raha hai.",Municipal Transport Department,Transport,Public Transport Facility,LOW
public toilet bahut ganda hai near Civil Lines bus stand.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
garbage dump ho raha hai open space me near Rohini Sector 7.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
sewage line overflowing near civil lines creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
garbage has not been collected from janakpuri for 2 days.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
severe waterlogging in karol bagh after light rain due to choked drains.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"STREET LIGHT 1 HAFTE SE BAND HAI VASANT KUNJ ME, ANDHERA REHTA HAI.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
high voltage surge burnt electrical appliances in railway station road.,Electricity Department,Electricity,Power Outage,HIGH
garbage dump ho raha hai open space me near Pitampura.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
"open manhole hai road pe near railway station road, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
garbage dump ho raha hai open space me near Rohini Sector 7.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"baarish ke baad Chandni Chowk me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Stormwater drain is completely clogged with silt near Vasant Kunj.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"Street lights remain turned on during daytime near Lajpat Nagar, wasting electricity.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Sewage line overflowing near GT Road creating unsanitary conditions.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Streetlight pole broken and light fixture hanging near Vasant Kunj.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Pipeline burst near Dwarka Sector 10 causing heavy water leakage on road.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
light pole toota hua hai near Railway Station Road park.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
urgent mosquito spray drive needed in lajpat nagar due to malaria outbreak risk.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Public toilet near Connaught Place is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
clogged stormwater channel causing 2 feet water accumulation in ring road junction.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Public toilet near Vasant Kunj is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
KACHRA 4 DIN SE NAHI UTHAYA GAYA HAI PREET VIHAR SE.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
ganda paani aa raha hai tap me Civil Lines ke andar.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Community waste bin overflowing near Karol Bagh attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
traffic signal lights not working at major intersection near civil lines.,Municipal Transport Department,Transport,Public Transport Facility,LOW
"Street lights remain turned on during daytime near GT Road, wasting electricity.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
CLOGGED STORMWATER CHANNEL CAUSING 2 FEET WATER ACCUMULATION IN RING ROAD JUNCTION.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
Our taps have been completely dry since Monday.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"Road ki condition bahut kharab hai GT Road me, accident ho rahe hain.",Public Works Department,Roads / PWD,Broken Footpath,LOW
Electric pole near Railway Station Road is leaning dangerously and about to fall.,Electricity Department,Electricity,Power Outage,HIGH
traffic signal blinking red continuously at Model Town intersection.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Stray dogs aggressiveness causing safety fear near GT Road park.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
MACHHAR BOHOT HO GAYE HAIN STAGNANT WATER KE WAJAH SE KAROL BAGH ME.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
sanitation condition is very bad near Pitampura market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Damaged bus shelter bench near Sector 17 causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"road ki condition bahut kharab hai saket block c me, accident ho rahe hain.",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
Clogged stormwater channel causing 2 feet water accumulation in Janakpuri.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"baarish ke baad Pitampura me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Stagnant water pool near Karol Bagh becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
bus stand ka shed toota hua hai near Connaught Place.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Road construction work near Connaught Place has been left incomplete for months.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
bus stand ka shed toota hua hai near GT Road.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
public toilet bahut ganda hai near Karol Bagh bus stand.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Urgent mosquito spray drive needed in Rohini Sector 7 due to malaria outbreak risk.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Exposed live electrical wire hanging dangerously near school entrance in Janakpuri.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Unannounced power cuts every 2 hours in Connaught Place during peak summer.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
non-functional street lamps along main highway stretch near connaught place.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"fogging karwao lajpat nagar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Overflowing sewage chamber creating severe health hazard near Janakpuri residential flats.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Bus stop shelter shade damaged and rusted near Dwarka Sector 10.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
"bhai Kashmere Gate ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
light pole toota hua hai near Pitampura park.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
"fogging karwao Lajpat Nagar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
kachra 4 din se nahi uthaya gaya hai karol bagh se.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Tar layer has worn off completely near Kashmere Gate making riding difficult.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
THERE HAS BEEN NO WATER SUPPLY IN MAYUR VIHAR PHASE 1 FOR 2 DAYS.,Water Department,Water Supply,Low Water Pressure,MEDIUM
"paani ki supply bilkul band hai Saket Block C me, please help karo.",Water Department,Water Supply,Contaminated / Dirty Water,HIGH
